rv,jumps,dts,vix,rets,c,vixann
0.0001078,0.0,['31/08/1990'],0.0002956382275132275,0.012007567040945171,0.000107795421843611,29.9
0.00010532,0.0,['4/09/1990'],0.0002893440476190476,0.0016417567383109784,0.000105315623276275,29.58
0.00013543,0.0,['5/09/1990'],0.0002689783068783069,0.004015573444295146,0.000135425219232211,28.52
6.5586e-05,0.0,['6/09/1990'],0.00030140082671957676,-0.012189032045821484,6.55856297427677e-05,30.19
7.9966e-05,0.0,['7/09/1990'],0.00027295400132275137,0.009132483563272472,7.99660628352186e-05,28.73
0.00012213,0.0,['10/09/1990'],0.0002846678571428572,-0.005488130606748332,0.000122125897194426,29.34
2.6111e-05,0.0,['11/09/1990'],0.0002663440476190476,-0.001836090577596702,2.61113485583e-05,28.38
2.7908e-05,0.0,['12/09/1990'],0.0002614862433862434,0.004661433593708442,2.7907845910436e-05,28.12
5.9826e-05,0.0,['13/09/1990'],0.00028447384259259263,-0.012133837792066641,5.98255829243346e-05,29.33
7.0932e-05,0.0,['14/09/1990'],0.00030883386243386245,-0.005727969333810324,7.09320511890363e-05,30.56
3.8585e-05,0.0,['17/09/1990'],0.0002887574404761904,0.0029624982271800543,3.85845813768928e-05,29.55
8.7892e-05,0.0,['18/09/1990'],0.000274666798941799,0.002608546822275454,8.78924322495987e-05,28.82
2.5991e-05,0.0,['19/09/1990'],0.00025704179894179896,-0.0062972500290363305,2.5990642775066e-05,27.88
0.00015001,0.000111426526327217,['20/09/1990'],0.0002716255291005292,-0.016304016738126446,3.85785885363428e-05,28.66
4.7052e-05,0.0,['21/09/1990'],0.0002984132275132275,-0.0005138086175980492,4.70519166382338e-05,30.04
0.00020959,0.0,['24/09/1990'],0.00030883386243386245,-0.02185471210994641,0.000209589005240125,30.56
5.3195e-05,0.0,['25/09/1990'],0.0002744762235449735,0.011976972737332689,5.31952089825224e-05,28.81
0.00010066,0.0,['26/09/1990'],0.0002627897156084657,-0.010435104146786533,0.00010065882888083,28.19
0.0001761,0.0,['27/09/1990'],0.00027181511243386247,-0.013497886564160337,0.000176100270812771,28.67
0.00044156,0.0,['28/09/1990'],0.00028022225529100524,0.01673789528945201,0.000441559309494451,29.11
0.00022627,0.0,['1/10/1990'],0.0002603715608465608,0.028633657195184552,0.000226270953677973,28.06
0.00018181,0.0,['2/10/1990'],0.00024609735449735446,0.0008569388765301794,0.000181806355910605,27.28
9.1947e-05,0.0,['3/10/1990'],0.00025741071428571425,-0.012160823968895581,9.19467810526157e-05,27.9
0.00014396,0.0,['4/10/1990'],0.0002502645833333334,0.0041340250194428175,0.000143962329126593,27.51
0.0003562,0.0,['5/10/1990'],0.000256488921957672,-0.003812946191832788,0.000356195252326562,27.85
0.00015573,9.47910140645131e-05,['8/10/1990'],0.00026000052910052905,0.0063362239571560786,6.09372061098378e-05,28.04
